name1,name2,is_match,name1_clean,name2_clean,name1_clean,name2_clean,cosine_sim,sbert_sim,jaro_sim,metaphone_match,soundex_match,Levenshtein,jaccard,token_set_ratio,similar_gender,is_abbreviation,predicted_match,match_probability
animesh damani,anil dammani,0,animesh damani,anil dammani,animesh damani,anil dammani,0.429669984933138,0.50293505,0.8881313131313131,0,0,5,0.0,0.77,1,0,0,0.11647231
rajiv ranjan,rajeev rahi,0,rajiv ranjan,rajeev rahi,rajiv ranjan,rajeev rahi,0.18259449141632678,0.68341327,0.817929292929293,0,1,6,0.0,0.61,0,0,0,0.110452875
sudheer katta,a chitti babu,0,sudheer katta,a chitti babu,sudheer katta,a chitti babu,0.02720555523622158,0.33836055,0.4564102564102564,0,0,11,0.0,0.31,1,0,0,0.110452875
ashish khattar,ira khattar,0,ashish khattar,ira khattar,ashish khattar,ira khattar,0.6425360683478549,0.6502893,0.8077922077922078,0,0,5,0.3333333333333333,0.78,0,0,0,0.108094096
r n singh,arpana singh,0,r n singh,arpana singh,r n singh,arpana singh,0.48729310797570113,0.67717683,0.8101851851851851,0,0,4,0.25,0.71,0,0,0,0.106695026
saroj kanta mishra,sarvendra x,0,saroj kanta mishra,sarvendra x,saroj kanta mishra,sarvendra x,0.11118868824886506,0.4141914,0.5707070707070706,0,0,13,0.0,0.34,1,0,0,0.110452875
ankur saxena,sarvendra x,0,ankur saxena,sarvendra x,ankur saxena,sarvendra x,0.04563970218719521,0.23004736,0.6446608946608947,0,0,11,0.0,0.43,1,0,0,0.110452875
malay kumar mandal,malay kr mondal,1,malay kumar mandal,malay kr mondal,malay kumar mandal,malay kr mondal,0.6657788179045818,0.57934946,0.8993650793650794,0,0,4,0.2,0.85,0,0,0,0.110261485
j v shivakishore,shiva kishore,0,j v shivakishore,shiva kishore,j v shivakishore,shiva kishore,0.7256414221560958,0.59975,0.860576923076923,0,0,5,0.0,0.62,0,0,0,0.1612557
b n shukla,sachin shukla,0,b n shukla,sachin shukla,b n shukla,sachin shukla,0.6939142610518049,0.5977634,0.7217948717948719,0,0,5,0.25,0.75,1,0,0,0.10808516
thayumana sundaram,sundaram m v t,0,thayumana sundaram,sundaram m v t,thayumana sundaram,sundaram m v t,0.5553602023656502,0.67088515,0.5343915343915344,0,0,16,0.2,0.73,0,0,0,0.1095822
shanmuga sundaram,sundaram m v t,0,shanmuga sundaram,sundaram m v t,shanmuga sundaram,sundaram m v t,0.577182486477757,0.6409557,0.5973389355742297,0,0,14,0.2,0.73,0,0,0,0.110249504
mahadeo n garale,kaushik mahade,0,mahadeo n garale,kaushik mahade,mahadeo n garale,kaushik mahade,0.3290778370995615,0.61654437,0.5456349206349206,0,0,11,0.0,0.53,0,0,0,0.110452875
arjun thayumana sundaram,sundaram m v t,0,arjun thayumana sundaram,sundaram m v t,arjun thayumana sundaram,sundaram m v t,0.4852605107638005,0.5149993,0.5244708994708994,0,0,19,0.16666666666666666,0.73,0,0,0,0.10669158
v p singh,prabhash singh,0,v p singh,prabhash singh,v p singh,prabhash singh,0.5397243805709699,0.65202665,0.6640211640211641,0,0,8,0.25,0.71,0,0,0,0.10965535
rk gupta,amrit kumar gupta,0,rk gupta,amrit kumar gupta,rk gupta,amrit kumar gupta,0.42203547277762604,0.72630763,0.5343137254901961,0,0,9,0.25,0.77,1,0,0,0.10669158
t kannan kumar,t sri krishnakumaran,0,t kannan kumar,t sri krishnakumaran,t kannan kumar,t sri krishnakumaran,0.23393929604244965,0.6344385,0.6573593073593074,0,0,11,0.2,0.59,0,0,0,0.10669158
md arif ansari surgeon doctor in katihar,a r ansari,0,md arif ansari in katihar,a r ansari,md arif ansari in katihar,a r ansari,0.47677997799548183,0.5205729,0.6666666666666666,0,0,16,0.14285714285714285,0.75,1,0,0,0.10669158
shajahan y,shah jahan,0,shajahan y,shah jahan,shajahan y,shah jahan,0.5362732049720137,0.49069718,0.9014814814814816,0,1,4,0.0,0.6,0,0,0,0.16464362
drks varma,k asok varma,0,drks varma,k asok varma,drks varma,k asok varma,0.3392628064376733,0.6596972,0.6972222222222223,0,0,5,0.25,0.67,1,0,0,0.106695026
swapnil a pattanshetti,p s pattanshetty,0,swapnil a pattanshetti,p s pattanshetty,swapnil a pattanshetti,p s pattanshetty,0.6255564668402755,0.53762865,0.7842171717171716,0,0,8,0.0,0.74,0,0,0,0.1670474
pattanshetty ramesh chandrappa,p s pattanshetty,1,pattanshetty ramesh chandrappa,p s pattanshetty,pattanshetty ramesh chandrappa,p s pattanshetty,0.7096647405273686,0.5804833,0.6376984126984128,0,0,22,0.2,0.86,0,0,0,0.18937182
rajeev kumar ranjan,k rajan kumar,0,rajeev kumar ranjan,k rajan kumar,rajeev kumar ranjan,k rajan kumar,0.5210176471916117,0.72158337,0.6568519200098147,0,0,12,0.2,0.75,0,0,0,0.10954009
pattanshetty nagutai tamanna,p s pattanshetty,1,pattanshetty nagutai tamanna,p s pattanshetty,pattanshetty nagutai tamanna,p s pattanshetty,0.666237656209905,0.63365763,0.6307234432234433,0,0,20,0.2,0.86,0,0,0,0.122126065
abhishek maru,abhishek bhagwat,0,abhishek maru,abhishek bhagwat,abhishek maru,abhishek bhagwat,0.5557058219719376,0.5883779,0.8788461538461538,0,1,6,0.3333333333333333,0.76,0,0,0,0.10863352
dhanasegaran,s sevvel,0,dhanasegaran,s sevvel,dhanasegaran,s sevvel,0.01917014674206345,0.27129617,0.47222222222222215,0,0,10,0.0,0.2,0,0,0,0.110452875
manoj padman,h s rautela,0,manoj padman,h s rautela,manoj padman,h s rautela,0.0,0.27304897,0.39646464646464646,0,0,11,0.0,0.26,0,0,0,0.110452875
sushanth,susanth s,0,sushant h,susanth s,sushant h,susanth s,0.34303440045916583,0.23119098,0.8898148148148148,0,1,3,0.0,0.78,0,0,0,0.21074495
sushanth y s,susanth s,0,sushanth y s,susanth s,sushanth y s,susanth s,0.564236067457473,0.38087612,0.8898148148148148,0,1,3,0.25,0.86,0,0,0,0.11165771
jofin john varghese,jofin k johny,0,jofin john varghese,jofin k johny,jofin john varghese,jofin k johny,0.6507516356639899,0.61439204,0.8486566065513435,0,1,11,0.2,0.69,0,0,0,0.11088156
trilok pratap singh bhandari,trilok x,0,trilok pratap singh bhandari,trilok x,trilok pratap singh bhandari,trilok x,0.6099451257546695,0.3398635,0.8250000000000001,0,1,21,0.2,0.86,0,0,0,0.12213601
